Certification Number;Certification Date;Technology Partner;Server Name;Operating System;Database Release;CPU Architecture;CPU Speed;Processors;Cores;Threads;Memory;Cache;Pdf Link;Comments;Benchmark Users;Average Response Time;Average database dialog request time;Average database update request time;Dialog Steps Per Hour;Fully Processed Line Items Per Hour;saps;Ran concurrent with;Configuration;Environment;SAP Business Suite
2019066;2019-11-27;Dell;Dell EMC PowerEdge R7515;SUSE Linux Enterprise Server 15;SAP ASE 16;AMD EPYC 7742 processor;2.25 GHz;1;64;128;512;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19066.pdf;;32200;0.98;0.022;0.010;10558000;3519330;175970;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019062;2019-11-25;Nutanix;Nutanix NX-8155-G6;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;Intel Xeon Platinum 8180 Processor;2.5 GHz;2;56;112;384;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2019/Cert19062.pdf;;25500;0.82;0.013;0.023;8480000;2826670;141330;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019061;2019-11-21;Dell;Dell PowerEdge R940;Windows Server 2016 Datacenter Edition on VMware   vSphere 6.7 Update 2;DB2 11.1;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19061.pdf;One VM with 224 vCPUs/ 1.4 TB RAM;54636;0.97;0.012;0.010;17931000;5977000;298850;;2-tier;Virtualized;SAP enhancement package 5 for SAP ERP 6.0
2019060;2019-11-18;IBM;IBM BI.S4.H4.3000;Red Hat Enterprise Linux 7.6;Db2 10.5;Intel Xeon Platinum 8280M Processor;2.7 GHz;4;112;224;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2019/Cert19060.pdf;;52150;0.94;0.021;0.010;17158000;5719330;285970;;2-tier;Cloud, Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019057;2019-11-14;HPE;HPE ProLiant DL385 Gen10 plus Server;Windows Server 2019 Datacenter;Microsoft SQL Server 2017;AMD EPYC 7742 Processor;2.25 GHz;2;128;256;1024;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2019/Cert19057.pdf;;53000;0.97;0.009;0.013;17395000;5798330;289920;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019056;2019-11-08;NEC;NEC Express5800 R120h-2M;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;Intel Xeon Platinum 8280M processor;2.7 GHz;2;56;112;384;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19056.pdf;;26705;0.88;;;8837000;2945670;147280;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019055;2019-11-07;Microsoft Corporation;Microsoft Azure Virtual Machine Services D64as v4;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;AMD EPYC 7452 Processor;2.35 GHz;2;64;128;768;64 KB L1 cache and 512 KB L2 cache per core, 128 MB L3 cache per Processor;https://www.sap.com/dmc/benchmark/2019/Cert19055.pdf;64 vCPUs, 256 GB memory;17600;0.92;0.016;0.031;5802000;1934000;96700;;2-tier;Cloud;SAP enhancement package 5 for SAP ERP 6.0
2019053;2019-10-28;Dell;Dell PowerEdge R940xa;Windows Server 2016 Datacenter Edition;Microsoft SQL Server 2012;Intel Xeon Platinum 8180 processor;2.5 GHz;4;112;224;1536;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19053.pdf;;56658;0.93;0.011;0.009;18663000;6221000;311050;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019049;2019-09-30;Lenovo;Lenovo ThinkSystem SR655;Windows Server 2016 Datacenter;Db2 10.5;AMD EPYC 7742 processor;2.25 GHz;1;64;128;512;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19049.pdf;;31650;0.92;0.007;0.016;10432000;3477330;173870;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019047;2019-09-17;Dell;Dell EMC PowerEdge R6525;SUSE Linux Enterprise Server 15;SAP ASE 16;AMD EPYC 7742 processor;2.25 GHz;2;128;256;1024;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19047.pdf;;62500;0.93;0.016;0.011;20589000;6863000;343150;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019046;2019-09-17;Dell;Dell EMC PowerEdge R7525;SUSE Linux Enterprise Server 15;SAP ASE 16;AMD EPYC 7702 processor;2.0 GHz;2;128;256;1024;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19046.pdf;;57900;0.99;0.022;0.012;18871000;6290330;314520;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019045;2019-09-04;Dell;Dell EMC PowerEdge R840;SUSE Linux Enterprise Server 12;SAP ASE 16;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19045.pdf;;69500;0.97;0.020;0.028;22817000;7605670;380280;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019044;2019-08-07;HPE;HPE ProLiant DL385 Gen10 Server;Windows Server 2019;Microsoft SQL Server 2017;AMD EPYC 7702 processor;2.0 GHz;2;128;256;1,024;64 KB L1 cache and 512 KB L2 cache per core, 256 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19044.pdf;;45600;0.96;0.011;0.017;14973000;4991000;249550;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019042;2019-07-18;Dell;Dell PowerEdge R940;Windows Server 2016 Datacenter Edition;DB2 11.1;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19042.pdf;;58290;0.94;0.013;0.013;19175000;6391670;319580;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019037;2019-06-25;IBM;IBM BI.S4.H2.384;Red Hat Enterprise Linux 7.6;Db2 10.5;Intel Xeon Gold 5218 Processor;2.30 GHz;2;32;64;384;64 KB L1 cache and 1,024 KB L2 cache per core, 22 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19037.pdf;;15590;0.99;0.018;0.017;5108000;1702670;85130;;2-tier;Cloud;SAP enhancement package 5 for SAP ERP 6.0
2019036;2019-06-18;IBM;IBM BI.S4.H2.1500;Red Hat Enterprise Linux 7.6;Db2 10.5;Intel Xeon Platinum 8280M processor;2.7 GHz;2;56;112;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19036.pdf;;26940;0.98;0.050;0.022;8833000;2944330;147220;;2-tier;Cloud;SAP enhancement package 5 for SAP ERP 6.0
2019035;2019-06-18;IBM;IBM BI.S4.H2.768;Red Hat Enterprise Linux 7.6;Db2 10.5;Intel Xeon Gold 6248 processor;2.5 GHz;2;40;80;768;64 KB L1 cache and 1,024 KB L2 cache per core, 28 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19035.pdf;;20580;0.94;0.019;0.009;6770000;2256670;112830;;2-tier;Cloud;SAP enhancement package 5 for SAP ERP 6.0
2019033;2019-06-18;Fujitsu;FUJITSU Server PRIMERGY RX4770 M5;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19033.pdf;;57500;0.97;0.010;0.021;18863000;6287670;314380;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019031;2019-05-22;Dell;Dell EMC PowerEdge R740xd;Windows Server 2016 Datacenter;Db2 11.1;Intel Xeon Platinum 8280 processor;2.7 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19031.pdf;;29535;0.95;0.013;0.028;9713000;3237670;161880;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019029;2019-04-29;Huawei Technologies;Huawei Kunlun 9008 V5;Red Hat Enterprise Linux Server 7.6;Db2 10.5;Intel Xeon Platinum 8280 processor;2.7 GHz;8;224;448;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19029.pdf;;110090;0.91;0.030;0.070;36318000;12106000;605300;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019028;2019-04-10;Cisco Systems;Cisco UCS C480 M5;SUSE Linux Enterprise Server 12;Db2 10.5;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19028.pdf;;58650;0.89;0.010;0.011;19391000;6463670;323180;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019026;2019-04-02;Dell;Dell EMC PowerEdge R740xd;SUSE Linux Enterprise Server 15;SAP ASE 16;Intel Xeon Platinum 8280 processor;2.7 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19026.pdf;;35505;0.99;0.018;0.009;11631000;3877000;193850;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019023;2019-04-02;Dell;Dell EMC PowerEdge R940;SUSE Linux Enterprise Server 15;SAP ASE 16;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19023.pdf;;69500;0.97;0.018;0.008;22801000;7600330;380020;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019018;2019-04-02;HPE;HPE Synergy 660 Gen 10 Compute Module;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;Intel Xeon Platinum 8280M processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19018.pdf;;57100;0.96;0.009;0.012;18763000;6254330;312720;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019017;2019-04-02;HPE;HPE Proliant DL380 Gen10;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;Intel Xeon Platinum 8280L processor;2.7 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19017.pdf;;29231;0.96;0.015;0.030;9599000;3199670;159980;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019016;2019-04-02;Lenovo;Lenovo ThinkSystem SR950;Windows Server 2016 Datacenter;Db2 10.5;Intel Xeon Platinum 8280L processor;2.7 GHz;8;224;448;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19016.pdf;;108998;0.80;0.020;0.026;36344000;12114670;605730;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019015;2019-04-02;Lenovo;Lenovo ThinkSystem SR950;Windows Server 2016 Datacenter;Db2 10.5;Intel Xeon Platinum 8280L processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19015.pdf;;62001;0.93;0.020;0.025;20417000;6805670;340280;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019011;2019-04-02;Fujitsu;Fujitsu Server PRIMEQUEST 3800B2;Windows Server 2016;Microsoft SQL Server 2012;Intel Xeon Platinum 8280 processor;2.7 GHz;8;224;448;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19011.pdf;;110000;0.86;0.010;0.016;12150000;36450000;607500;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019010;2019-04-02;Fujitsu;Fujitsu Server PRIMERGY RX2540 M5;Windows Server 2016;Microsoft SQL Server 2012;Intel Xeon Platinum 8280 processor;2.7 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19010.pdf;;30500;0.99;0.012;0.027;3330330;9991000;166520;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019009;2019-04-02;Huawei Technologies;Huawei Kunlun 9008 V5;Red Hat Enterprise Linux Server 7.6;Db2 10.5;Intel Xeon Platinum 8280 processor;2.7 GHz;8;224;448;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19009.pdf;;108200;0.97;0.010;0.032;35508000;11836000;591800;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019008;2019-04-02;Huawei Technologies;Huawei FusionServer 2488H V5;Windows Server 2016 Datacenter;Microsoft SQL Server 2012;Intel Xeon Platinum 8280 processor;2.7 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19008.pdf;;56670;0.98;0.012;0.013;18584000;6194670;309730;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2019004;2019-01-28;Huawei Technologies;Huawei KunLun 9008 V5 Lpar;SUSE Linux Enterprise Server 12 on KVM;Db2 10.1;Intel Xeon Platinum 8176 processor;2.1 GHz;4;112;224;3,072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19004.pdf;One VM with 112 vCPUs/ 1,440 GB RAM;18390;0.63;0.044;0.036;6230000;2076670;103830;;2-tier;Virtualized;SAP enhancement package 5 for SAP ERP 6.0
2019001;2019-01-11;Cisco Systems;Cisco HyperFlex HXAF240C-M5SX;SUSE Linux Enterprise Server 12 on VMware vSphere 6.5 Update 2;Db2 10.5;Intel Xeon Gold 6140 processor;2.3 GHz;2;36;72;512;64 KB L1 cache and 1,024 KB L2 cache per core, 24.75 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2019/Cert19001.pdf;One VM with 36 vCPU/ 512 GB RAM running on one HyperFlex/ vSphere host, Hyperflex 4 node cluster;11129;0.95;0.039;0.036;3658000;1219330;60970;;2-tier;Virtualized;SAP enhancement package 5 for SAP ERP 6.0
2018061;2018-12-13;Dell;Dell EMC PowerEdge MX740c;Red Hat Enterprise Linux 7.5;Db2 10.5;Intel Xeon Platinum 8180 processor;2.5 GHz;2;56;112;768;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18061.pdf;;27465;0.94;0.025;0.011;9039000;3013000;150650;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018060;2018-12-13;Dell;Dell EMC PowerEdge MX740c;Red Hat Enterprise Linux 7.4;Db2 10.5;Intel Xeon Platinum 8180 processor;2.5 GHz;2;56;112;768;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18060.pdf;;32086;0.98;0.022;0.009;10521000;3507000;175350;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018059;2018-12-13;Dell;Dell EMC PowerEdge R640;Windows Server 2016 Datacenter;Db2 11.1;Intel Xeon Platinum 8180 processor;2.5 GHz;2;56;112;768;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18059.pdf;;29445;0.91;0.023;0.011;9716000;3238670;161930;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018055;2018-12-10;IBM;IBM Power System E980;AIX 7.2;Db2 10.5;POWER9;3.9 GHz;16;192;1536;8192;64 KB L1 cache and 512 KB L2 cache per core, 10 MB L3 cache per core;https://www.sap.com/dmc/benchmark/2018/Cert18055.pdf;;205000;0.70;;;68941000;22980330;1149020;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018054;2018-11-26;Hitachi;Hitachi Advanced Server DS220;Windows Server 2012 R2;SQL Server 2012;Intel Xeon Platinum 8176 processor;2.10 GHz;2;56;112;768;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18054.pdf;;23900;0.97;;;7842000;2614000;130700;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018053;2018-11-23;Amazon Web Services;Amazon EC2 r5.metal;Windows Server 2016 Datacenter;SQL Server 2012;Intel Xeon Platinum 8175M processor;2.50 GHz;2;48;96;768;64 KB L1 cache and 1,024 KB L2 cache per core, 33 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18053.pdf;;26000;0.99;;;8520000;284,000;142000;;2-tier;Bare-Metal, Cloud;SAP enhancement package 5 for SAP ERP 6.0
2018050;2018-11-22;Dell;Dell EMC PowerEdge MX840c;SUSE Linux Enterprise Server 12;Db2 10.5;Intel Xeon Platinum 8180 processor;2.5 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18050.pdf;;65900;0.98;;;21612000;7204000;360200;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018046;2018-10-16;HPE;HPE ProLiant DL385 Gen10 Server;Windows Server 2012;Microsoft SQL Server 2012;AMD EPYC 7601 processor;2.2 GHz;2;64;128;1024;96 KB L1 cache and 512 KB L2 cache per core, 64 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18046.pdf;;23820;0.93;;;7846000;2615330;130770;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018042;2018-10-01;Dell;Dell EMC PowerEdge M640 Blade-Server;Windows Server 2016 Datacenter;Db2 11.1;Intel Xeon Platinum 8176 processor;2.1 GHz;2;56;112;768;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18042.pdf;;25995;0.97;;;8530000;2843330;142170;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018041;2018-09-27;Amazon Web Services;Amazon EC2 u-6tb1.metal;Windows Server 2016 Datacenter;SQL Server 2012;Intel Xeon Platinum 8176M processor;2.1 GHz;8;224;448;6144;64 KB L1 cache and 1024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18041.pdf;;87300;0.90;;;28836000;9612000;480600;;2-tier;Cloud;SAP enhancement package 5 for SAP ERP 6.0
2018039;2018-09-11;Dell;Dell EMC PowerEdge R940;SUSE Linux Enterprise Server 12;Db2 10.5;Intel Xeon Platinum 8180 processor;2.50 GHz;4;112;224;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18039.pdf;;65900;0.98;;;21608000;7202670;360130;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018038;2018-09-10;Lenovo;Lenovo ThinkSystem SR950;Windows Server 2012 R2;Db2 10.5;Intel Xeon Platinum 8180 processor;2.50 GHz;8;224;448;3072;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18038.pdf;;105350;0.61;;;35730000;11910000;595500;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018037;2018-09-10;Lenovo;Lenovo ThinkSystem SR950;Windows Server 2012 R2;Db2 10.5;Intel Xeon Platinum 8180 processor;2.5 GHz;4;112;224;1536;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18037.pdf;;60705;0.91;;;20030000;6676670;333830;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2018033;2018-09-04;Huawei Technologies;Huawei Cloud ECS m3.8xlarge.8;SUSE Linux Enterprise Server 12;SAP ASE 16;Intel Xeon Gold 6151 Processor;3.0 GHz;2;36;72;576;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18033.pdf;32 vCPUs, 256 GB memory;9960;0.62;;;3377000;56280;56280;;2-tier;Cloud;SAP enhancement package 5 for SAP ERP 6.0
2018032;2018-08-28;Hitachi;Hitachi Advanced Server DS120;Windows Server 2012 R2;SQL Server 2012;Intel Xeon Platinum 8176 processor;2.10 GHz;2;56;112;768;64 KB L1 cache and 1,024 KB L2 cache per core, 38.5 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/2018/Cert18032.pdf;;24800;0.96;;;8146000;2715330;135770;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
